id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
14315,8943,The Quivering,NULL,1999-05-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
176801,17273,The Rocky Interactive Horror Show Game,NULL,1999-03-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
172126,8088,The Rugrats Movie Activity Challenge,NULL,1999-05-03 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
130455,8091,The Rugrats Mystery Adventures,NULL,1999-09-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
73726,57581,The Sacred Amulet,"A young Aztec named Little serpent from the village of Atoyac (near Tenochtitlan) is out hunting, he sees a noble, mortally wounded by a otomi warrior. The dying noble gives him an ornate necklace and utters the name Tlatli. Snakeling is thought to be the killer. After learning, that his parents have been taken away and the land is affected by a strange disease, Snakeling searches for the poet in Tlatelolco. Eventually Snakeling infiltrates Moctezuma's palace. There has a limited time to find the nature of the disease, before his parents sacrificed. Finding a link to several necklaces, Snakeling enters the temple of the Ceremonial Center, where a noble and priestess are responsible for the disease, trying to overthrow the emperor. The leader of this cult is ""Black Flower"", who forces Snakeling to poison the water or drink the poison. Snakeling escapes and eventually makes his way back to his village. He is arrested and about to be scarified, but is saved thanks to a bracelet he got from a beggar. Snakeling and his family are giving an official pardon.",1999-10-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
113981,198885,The Simpsons,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
142855,106272,The Smurfs,NULL,1999-12-31 00:00:00.000,1,NULL,NULL,NULL,56.9489,8
112029,11605,The Typing of the Dead,"The plot of the game closely follows that of House of the Dead 2.[2] The story begins on February 26, 2000, when several AMS agents have been dispatched to investigate a zombie outbreak in Venice, Italy. The player can control two characters, James and Gary, who are sent to find the original game's ""G"" and then tasked with restoring order.Responsibility for the outbreaks is soon traced to ""Goldman,"" a banking tycoon and scientist who attempts to end human control of the earth. Much of the game revolves around destroying Goldman's creations, concluding with the final boss of ""the Emperor."" One of three possible humorous ending sequences occurs, depending on the answers given to the questions asked to defeat the Emperor.",1999-12-31 00:00:00.000,3,NULL,80.0000,1,65.4906,13
111840,72020,The War in Heaven,NULL,1999-12-31 00:00:00.000,1,1,NULL,NULL,NULL,NULL
114190,901,The Wheel of Time,NULL,1999-10-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
67893,124682,The Will 2 - The Castle 1999,NULL,1999-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
188050,12484,Theme Park World,NULL,1999-11-04 00:00:00.000,12,NULL,NULL,NULL,64.8458,39
190943,9227,Thief Gold,"Having received training from an enigmatic organization known as the Keepers, Garrett leaves the order and goes back to the life of a thief on the streets of the City. Once you enter the underworld you have to deal with all the consequences - you are not the only one out there looking for decent loot. Hide in the shadows of the dark, savage city. Sneak into old ruins, haunted cathedrals and mansions of the rich. Incapacitate your enemies quietly or in an open fight. This unique sneak-em-up game provides you with a range of means to achieve your goal. Remember though - secrecy is your best friend.",1999-10-26 00:00:00.000,11,NULL,90.0000,1,81.1948,39
24114,70158,This is Football,NULL,1999-12-10 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
115599,70654,Thomas & Friends: The Great Festival Adventure,NULL,1999-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
173712,44916,Thrasher Presents: Skate and Destroy,NULL,1999-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
150460,28402,Threads of Fate,"Valen created the relic so he could alter the universe in his own image, but he was destroyed in the process. The relic was then sealed so that no one could use such power for their own selfish ambitions. The East Heaven Kingdom was entrusted to keep such a dangerous relic from anyone who wished to use it.

In their quest, both Mint and Rue search for the relic so they can use it for different reasons. Mint wants to use the Dewprism for world domination, while Rue wants to use its powers to resurrect Claire.

Yet another person seeking the relic's power is Doll Master, who wants to resurrect his master, Valen, so he could finish his mission.",1999-10-14 00:00:00.000,7,NULL,NULL,NULL,81.5023,5
11360,85986,Thrust Twist + Turn,NULL,1999-07-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
127061,45846,Time Stalkers,NULL,1999-10-15 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
119826,194925,Tina wa Seirei Tsukai,NULL,1999-11-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
147052,44918,Tiny Tank,NULL,1999-10-01 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
135209,8055,Tiny Toon Adventures: Toonenstein - Dare to Scare!,NULL,1999-11-02 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
137373,150019,TKKG: Verrat an TKKG,NULL,1999-10-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
